Rank,Player,Pos,Team,Bye,PosRank,PosTier,Tier,ECR,VBD,Upside,Bust,Risk,Depth,Backfield,Spread,Ranked,Rookie,Availability,Injury
17,Chris Olave,WR,NO,8,WR10,5,3,18.81,65,9.8,25.2,tight,1,,6.08,yes,,,
18,George Pickens,WR,DAL,14,WR11,5,3,20.18,61,9.2,19.8,tight,2,,5.7,yes,,,
19,De'Von Achane,RB,MIA,6,RB7,2,3,21,119,11,18,tight,1,sole RB,6.78,yes,,,
20,Trey McBride,TE,ARI,14,TE2,1,3,21.26,95,5.3,11.7,tight,1,,4.37,yes,,,
21,Rashee Rice,WR,KC,5,WR12,5,4,23.67,61,14.7,21.3,some,1,,8.8,yes,,,
22,DeVonta Smith,WR,PHI,10,WR13,6,4,23.89,59,12.9,21.1,tight,1,,7.06,yes,,,
23,Saquon Barkley,RB,PHI,10,RB8,3,4,24.27,115,14.3,16.7,tight,1,bellcow,6.72,yes,,,
24,Malik Nabers,WR,NYG,8,WR14,5,4,24.41,57,15.4,23.6,some,1,,9.07,yes,,,Questionable
25,Omarion Hampton,RB,LAC,7,RB9,3,4,25.58,106,15.6,21.4,tight,1,bellcow,7.32,yes,,,
26,Josh Allen,QB,BUF,7,QB1,1,4,25.88,117,4.9,13.1,tight,1,,2.69,yes,,,
27,Kenneth Walker,RB,KC,5,RB10,3,4,27.14,97,15.1,30.9,some,1,bellcow,9.62,yes,,,Questionable
28,Ashton Jeanty,RB,LV,13,RB11,3,5,28.51,91,21.5,36.5,some,1,bellcow,10.99,yes,,,Questionable
29,Garrett Wilson,WR,NYJ,13,WR15,6,5,30.03,53,16,17,tight,1,,7.61,yes,,,
30,Zay Flowers,WR,BAL,13,WR16,6,5,30.14,50,13.1,17.9,tight,1,,7.92,yes,,,Questionable
31,Lamar Jackson,QB,BAL,13,QB2,2,5,31.72,86,6.7,26.3,some,1,,8.28,yes,,,
32,Tetairoa McMillan,WR,CAR,5,WR17,6,6,35.08,45,17.1,13.9,tight,1,,6.57,yes,,,
33,Jaylen Waddle,WR,DEN,10,WR18,7,6,35.9,39,15.9,26.1,tight,1,,7.52,yes,,,
34,Ladd McConkey,WR,LAC,7,WR19,6,6,36.18,38,18.2,14.8,tight,1,,6.91,yes,,,
35,Tee Higgins,WR,CIN,6,WR20,6,6,36.34,38,17.3,14.7,tight,2,,6.65,yes,,,
36,Derrick Henry,RB,BAL,13,RB12,3,6,37.19,87,25.2,12.8,some,1,sole RB,8.74,yes,,,
37,Colston Loveland,TE,CHI,10,TE3,2,6,37.98,80,16,49,some,1,,13.23,yes,,,
38,Drake Maye,QB,NE,11,QB3,2,6,38.19,81,12.2,53.8,some,1,,13.66,yes,,,
39,Breece Hall,RB,NYJ,13,RB13,4,6,39.93,82,17.9,16.1,tight,1,bellcow,6.68,yes,,,Questionable
40,Emeka Egbuka,WR,TB,10,WR21,6,6,40.23,36,25.2,23.8,tight,1,,7.4,yes,,,Questionable
41,Jeremiyah Love,RB,ARI,14,RB14,4,6,40.96,79,13,24,some,1,bellcow,8.17,yes,ROOKIE,,Questionable
42,Kyren Williams,RB,LAR,11,RB15,4,6,41.6,75,18.6,17.4,tight,1,lead w/ Blake Corum,6.94,yes,,,
43,Josh Jacobs,RB,GB,11,RB16,4,7,44.73,72,20.7,16.3,tight,1,bellcow,7.14,yes,,,Questionable
44,Javonte Williams,RB,DAL,14,RB17,4,7,44.95,68,12,22,tight,1,sole RB,6.18,yes,,,
45,Terry McLaurin,WR,WAS,7,WR22,7,7,46.59,35,18.6,21.4,tight,1,,5.79,yes,,,
46,Joe Burrow,QB,CIN,6,QB4,2,7,46.91,75,19.9,25.1,some,1,,12.63,yes,,,
47,Luther Burden,WR,CHI,10,WR23,7,7,47.9,32,21.9,28.1,some,2,,8.87,yes,,,Questionable
